title,stars,total_reviews,price
"Apple iPhone 12 (256GB, White) [Locked] + Carrier Subscription",4.2,134.0,749.94
"Apple iPhone 12 Pro (128GB, Graphite) [Locked] + Carrier Subscription",4.0,149.0,745.23
"Apple iPhone 11, 64GB, Black - Unlocked (Renewed)",4.3,35044.0,308.0
"Apple iPhone 8, 64GB, Gold - Unlocked (Renewed)",4.3,50202.0,145.0
"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",4.5,57525.0,228.95
"Apple iPhone 12 Mini, 64GB, Black - Unlocked (Renewed)",4.3,4581.0,319.0
"Apple iPhone SE (2nd Generation), US Version, 128GB, Black - Unlocked (Renewed)",4.4,9392.0,170.0
"iPhone 13, 128GB, Pink - Unlocked (Renewed Premium)",4.2,137.0,668.0
"Apple iPhone XS, 64GB, Gold - Fully Unlocked (Renewed)",4.3,19127.0,235.0
"Apple iPhone 12, 64GB, Green - Fully Unlocked (Renewed)",4.3,6687.0,399.0
"Apple iPhone 11 Pro Max, 64GB, Space Gray - Unlocked (Renewed)",4.3,13027.0,414.07
"iPhone 13 Pro Max, 128GB, Gold - Unlocked (Renewed Premium)",4.1,308.0,
"Apple iPhone X, US Version, 64GB, Silver - Unlocked (Renewed)",4.2,22747.0,224.95
"Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)",4.1,93.0,675.0
"Apple iPhone 13 Mini, 128GB, Blue - Unlocked (Renewed)",4.5,953.0,569.99
"Apple iPhone XS Max, US Version, 64GB, Space Gray - Unlocked (Renewed)",4.4,14451.0,293.0
"Apple iPhone 13, 256GB, Red - Unlocked (Renewed)",4.4,1489.0,649.49
"Apple Iphone X, 256GB, Space Gray - Fully Unlocked (Renewed)",4.2,1770.0,255.0
"Apple Iphone X, 256GB, Space Gray - Fully Unlocked (Renewed)",4.2,1770.0,255.0
"Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)",4.3,47.0,708.97
